PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	Martinez-Santiago, F.; Montejo-Raez, A.; Garcia-Cumbreras, M. A.				Garcia Cumbreras, Miguel Angel/H-5708-2015; Martinez-Santiago, Fernando/H-3454-2015; Montejo-Raez, Arturo/D-3387-2009	Garcia Cumbreras, Miguel Angel/0000-0003-1867-9587; Martinez-Santiago, Fernando/0000-0002-1480-1752; Montejo-Raez, Arturo/0000-0002-8643-2714	Peters, C; Jikoun, V; Mandl, T; Muller, H; Oard, DW; Penas, A; Petras, V; Santos, D		SINAI at CLEF Ad-Hoc Robust Track 2007: Applying Google Search Engine for Robust Cross-Lingual Retrieval								ADVANCES IN MULTILINGUAL AND MULTIMODAL INFORMATION RETRIEVAL		LECTURE NOTES IN COMPUTER SCIENCE		5152				137	142							2008	2008						8th Workshop of the Cross-Language Evaluation Forum8th Workshop of the Cross-Language Evaluation Forum	SEP 19-21, 2007SEP 19-21, 2007		Budapest, HUNGARYBudapest, HUNGARY	2	0	0	0	0	2			0302-9743		978-3-540-85759-4	WOS:000260420000018		
J	Baker, Christopher J. O.; Kanagasabai, Rajaraman; Ang, Wee Tiong; Veeramani, Anitha; Low, Hong-Sang; Wenk, Markus R.				Wenk, Markus/D-1441-2014				Towards ontology-driven navigation of the lipid bibliosphere								BMC BIOINFORMATICS				9						S5	10.1186/1471-2105-9-S1-S5				1	2008	2008						6th International Conference on Bioinformatics (InCoB2007)6th International Conference on Bioinformatics (InCoB2007)	AUG 27-30, 2007AUG 27-30, 2007		Hong Kong, PEOPLES R CHINAHong Kong, PEOPLES R CHINA	15	0	0	12	0	16			1471-2105			WOS:000259022700005	18315858	
B	Bartz, Kevin; Barr, Cory; Aijaz, Adil			ACM					Natural Language Generation for Sponsored-Search Advertisements								EC'08: PROCEEDINGS OF THE 2008 ACM CONFERENCE ON ELECTRONIC COMMERCE								1	9							2008	2008						ACM Conference on Electronic CommerceACM Conference on Electronic Commerce	JUL 08-12, 2008JUL 08-12, 2008	ACM SIGecom; Microsoft Res; Google; Yahoo Res; HP Labs; CombineNet; NW UnivACM SIGecom; Microsoft Res; Google; Yahoo Res; HP Labs; CombineNet; NW Univ	Chicago, ILChicago, IL	1	0	0	0	0	1					978-1-60558-169-9	WOS:000268027400001		
S	Jilani, Ines; Grabar, Natalia; Meneton, Pierre; Jaulent, Marie-Christine				Jaulent, Marie-Christine/G-1065-2013	Jaulent, Marie-Christine/0000-0003-4445-7494	Andersen, SK; Klein, GO; Schulz, S; Aarts, J; Mazzoleni, MC		Assessment of Biomedical Knowledge According to Confidence Criteria								EHEALTH BEYOND THE HORIZON - GET IT THERE		Studies in Health Technology and Informatics		136				199	204							2008	2008						21st International Congress of the European-Federation-for-Medical-Informatic (MIE2008)21st International Congress of the European-Federation-for-Medical-Informatic (MIE2008)	MAY 25-28, 2008MAY 25-28, 2008	European Federat Med InformatEuropean Federat Med Informat	Gothenburg, SWEDENGothenburg, SWEDEN	1	0	0	0	0	1			0926-9630		978-1-58603-864-9	WOS:000274308700033	18487731	
S	Lindgren, Helena						Andersen, SK; Klein, GO; Schulz, S; Aarts, J; Mazzoleni, MC		Decision Support System Supporting Clinical Reasoning Process - an Evaluation Study in Dementia Care								EHEALTH BEYOND THE HORIZON - GET IT THERE		Studies in Health Technology and Informatics		136				315	320							2008	2008						21st International Congress of the European-Federation-for-Medical-Informatic (MIE2008)21st International Congress of the European-Federation-for-Medical-Informatic (MIE2008)	MAY 25-28, 2008MAY 25-28, 2008	European Federat Med InformatEuropean Federat Med Informat	Gothenburg, SWEDENGothenburg, SWEDEN	5	0	0	1	0	5			0926-9630		978-1-58603-864-9	WOS:000274308700052	18487750	
J	Montoto, Paula; Pan, Alberto; Raposo, Juan; Losada, Jose; Bellas, Fernando; Carneiro, Vector				Carneiro Diaz, Victor/C-7016-2015; Raposo, Juan/I-2500-2015	Carneiro Diaz, Victor/0000-0002-7536-9422; Raposo, Juan/0000-0003-4913-618X; Montoto, Paula/0000-0002-8615-1701			A workflow language for web automation								JOURNAL OF UNIVERSAL COMPUTER SCIENCE				14	11			1838	1856							2008	2008										6	0	0	0	0	6			0948-695X			WOS:000259760000003		
S	Lindgren, Helena						Ackerman, M; DiengKuntz, R; Simone, C; Wulf, V		Conceptual model of activity as tool for developing a dementia care support system								KNOWLEDGE MANAGEMENT IN ACTION		INTERNATIONAL FEDERATION FOR INFORMATION PROCESSING		270				97	109							2008	2008						20th World Computer Congress20th World Computer Congress	SEP 07-10, 2008SEP 07-10, 2008	Int Federat Informat Processing; Italian Comp SocInt Federat Informat Processing; Italian Comp Soc	Milan, ITALYMilan, ITALY	2	0	0	0	0	2			1571-5736		978-0-387-09658-2	WOS:000258322500008		
S	Morra, Jonathan H.; Tu, Zhuowen; Apostolova, Liana G.; Green, Amity E.; Toga, Arthur W.; Thompson, Paul M.				Thompson, Paul/C-4194-2018	Thompson, Paul/0000-0002-4720-8867; Watson, Amity/0000-0002-8336-8622	Metaxas, D; Axel, L; Fichtinger, G; Szekely, G		Automatic Subcortical Segmentation Using a Contextual Model								MEDICAL IMAGE COMPUTING AND COMPUTER-ASSISTED INTERVENTION - MICCAI 2008, PT I, PROCEEDINGS		Lecture Notes in Computer Science		5241				194	201							2008	2008						11th International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI2008)11th International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI2008)	SEP 06-10, 2008SEP 06-10, 2008	Rutgers Univ; New York Univ; Robarts Res Inst; NE Digital Inc; Medtron Inc; Siemens Corp Res; Philips; GERutgers Univ; New York Univ; Robarts Res Inst; NE Digital Inc; Medtron Inc; Siemens Corp Res; Philips; GE	New York, NYNew York, NY	17	0	0	7	0	17			0302-9743		978-3-540-85987-1	WOS:000261373700024	18979748	
J	Song, Min; Song, Il-Yeol; Hu, Xiaohua; Allen, Robert B.					Allen, Robert B/0000-0002-4059-2587; Song, Min/0000-0003-3255-1600			Integration of association rules and ontologies for semantic query expansion								DATA & KNOWLEDGE ENGINEERING				63	1			63	75		10.1016/j.datak.2006.10.010					OCT 2007	2007						7th International Conference on Data Warehousing and Knowledge Discovery (DaWaK 2005)7th International Conference on Data Warehousing and Knowledge Discovery (DaWaK 2005)	AUG 22-26, 2005AUG 22-26, 2005		Copenhagen, DENMARKCopenhagen, DENMARK	46	10	0	1	0	55			0169-023X	1872-6933		WOS:000247986500005		
J	Niemi, Tapio; Toivonen, Santtu; Niinimaeki, Marko; Nummenmaa, Jyrki								Ontologies with semantic Web/Grid in data integration for OLAP								INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS				3	4			25	49		10.4018/jswis.2007100102					OCT-DEC 2007	2007										13	0	0	0	0	13			1552-6283			WOS:000250766300002		
J	Siadat, Mohammad-Reza; Soltanian-Zadeh, Hamid; Elisevich, Kost V.				Soltanian-Zadeh, Hamid/K-2903-2016	Soltanian-Zadeh, Hamid/0000-0002-7302-6856			Knowledge-based localization of hippocampus in human brain MRI								COMPUTERS IN BIOLOGY AND MEDICINE				37	9			1342	1360		10.1016/j.compbiomed.2006.12.010					SEP 2007	2007										5	0	0	3	0	5			0010-4825	1879-0534		WOS:000249489700015	17339035	
J	Kostoff, Ronald N.								Validating discovery in literature-based discovery								JOURNAL OF BIOMEDICAL INFORMATICS				40	4			448	450		10.1016/j.jbi.2007.05.001					AUG 2007	2007										16	0	0	5	0	16			1532-0464			WOS:000249262100010	17616484	
J	Wolozin, Benjamin; Wang, Stanley W.; Li, Nien-Chen; Lee, Austin; Lee, Todd A.; Kazis, Lewis E.					Wolozin, Benjamin/0000-0003-2068-1475; Kazis, Lewis/0000-0003-1800-5849; Lee, Todd/0000-0003-3619-5367			Simvastatin is associated with a reduced incidence of dementia and Parkinson's disease								BMC MEDICINE				5						20	10.1186/1741-7015-5-20					JUL 19 2007	2007										234	2	2	157	0	237			1741-7015			WOS:000249081600001	17640385	
J	LeBlanc, Linda A.; Geiger, Kaneen B.; Sautter, Rachael A.; Sidener, Tina A.								Using the Natural Language Paradigm (NLP) to increase vocalizations of older adults with cognitive impairments								RESEARCH IN DEVELOPMENTAL DISABILITIES				28	4			437	444		10.1016/j.ridd.2006.06.004					JUL-SEP 2007	2007										16	0	0	4	0	17			0891-4222			WOS:000247655400009	16889934	
J	McKenna, Thomas M.; Bawa, Gagandeep; Kumar, Kamal; Reifman, Jaques					Kumar, Kamal/0000-0002-9470-6682			The physiology analysis system: An integrated approach for warehousing, management and analysis of time-series physiology data								COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE				86	1			62	72		10.1016/j.cmpb.2007.01.003					APR 2007	2007										8	0	0	2	0	8			0169-2607	1872-7565		WOS:000245545600009	17287043	
S	Christiansen, Henning; Dahmcke, Christina Mackeprang						Perner, P		A machine learning approach to test data generation: A case study in evaluation of gene finders								MACHINE LEARNING AND DATA MINING IN PATTERN RECOGNITION, PROCEEDINGS		Lecture Notes in Artificial Intelligence		4571				742	+							2007	2007						5th International Conference on Machine Learning and Data Mining in Pattern Recognition5th International Conference on Machine Learning and Data Mining in Pattern Recognition	JUL 18-20, 2007JUL 18-20, 2007		Leipzig, GERMANYLeipzig, GERMANY	4	0	0	0	0	4			0302-9743	1611-3349	978-3-540-73498-7	WOS:000248523200055		
S	Maragoudakis, Manolis			IEEE Comp Soc					A Bayesian network model for information retrieval from Greek texts								19TH IEEE INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE, VOL II, PROCEEDINGS		Proceedings-International Conference on Tools With Artificial Intelligence						50	+		10.1109/ICTAI.2007.52					2007	2007						19th IEEE International Conference on Tools with Artificial Intelligence19th IEEE International Conference on Tools with Artificial Intelligence	OCT 29-31, 2007OCT 29-31, 2007	IEEE Comp Soc; Biol & Artificial Intelligence Soc; Univ Patras; Wright State Univ, ATRCIEEE Comp Soc; Biol & Artificial Intelligence Soc; Univ Patras; Wright State Univ, ATRC	Patras, GREECEPatras, GREECE	0	0	0	0	0	0			1082-3409		*****************	WOS:000253293000008		
S	Gonzalez, Marco; Strube de Lima, Vera Lucia						Peters, C		The PUCRS NLP-Group participation in CLEF2006: Information retrieval based on linguistic resources								EVALUATION OF MULTILINGUAL AND MULTI-MODAL INFORMATION RETRIEVAL		Lecture Notes in Computer Science		4730				66	+							2007	2007						7th Workshop of the Cross-Language Evaluation Forum7th Workshop of the Cross-Language Evaluation Forum	SEP 20-22, 2006SEP 20-22, 2006		Alicante, SPAINAlicante, SPAIN	0	0	0	0	0	0			0302-9743	1611-3349	978-3-540-74998-1	WOS:000250568000009		
S	Arcoverde, Joao Marcelo Azevedo; Nunes, Maria Das Gracas Volpe				Nunes, M/E-5572-2011; Inst Cien Matematicas Computacao, ICMC/USP/D-8320-2017		Peters, C		NLP-Driven constructive learning for filtering an IR document stream								EVALUATION OF MULTILINGUAL AND MULTI-MODAL INFORMATION RETRIEVAL		Lecture Notes in Computer Science		4730				74	+							2007	2007						7th Workshop of the Cross-Language Evaluation Forum7th Workshop of the Cross-Language Evaluation Forum	SEP 20-22, 2006SEP 20-22, 2006		Alicante, SPAINAlicante, SPAIN	0	0	0	0	0	0			0302-9743	1611-3349	978-3-540-74998-1	WOS:000250568000010		
B	Muthukumar, A.; Nadarajan, R.						Lei, JS; Yu, J; Zhou, SG		<bold>TDML: A Data Mining Language for transaction databases</bold>								FOURTH INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY, VOL 4, PROCEEDINGS								81	+		10.1109/FSKD.2007.558					2007	2007						4th International Conference on Fuzzy Systems and Knowledge Discovery4th International Conference on Fuzzy Systems and Knowledge Discovery	AUG 24-27, 2007AUG 24-27, 2007	Hainan Univ; IEEE Reliabil Soc; Asia Pacific Neural Network AssemblyHainan Univ; IEEE Reliabil Soc; Asia Pacific Neural Network Assembly	Haikou, PEOPLES R CHINAHaikou, PEOPLES R CHINA	1	0	0	0	0	1					*****************	WOS:000252461000017		
B	Mueller, Christof; Gurevych, Iryna; Muehlhaeuser, Max					Muhlhauser, Max/0000-0003-4713-5327			Integrating semantic knowledge into text similarity and information retrieval								ICSC 2007: INTERNATIONAL CONFERENCE ON SEMANTIC COMPUTING, PROCEEDINGS								257	+		10.1109/ICSC.2007.12					2007	2007						International Conference on Semantic Computing (ICSC 2007)International Conference on Semantic Computing (ICSC 2007)	SEP 17-19, 2007SEP 17-19, 2007		Irvine, CAIrvine, CA	2	0	0	0	0	2					978-0-7695-2997-4	WOS:000250994500032		
J	Horng-Jyh, Paul Wu; Jin-Cheon, Na; Soo-Guan, Christopher Khoo								A hybrid approach to fuzzy name search incorporating language-based and text-based principles								JOURNAL OF INFORMATION SCIENCE				33	1			3	19		10.1177/0165551506068146					2007	2007										2	0	0	1	0	2			0165-5515	1741-6485		WOS:000244531800001		
S	Klementiev, Alexandre; Roth, Dan; Small, Kevin						Kok, JN; Koronacki, J; DeMantaras, RL; Matwin, S; Mladenic, D; Skowron, A		An unsupervised learning algorithm for rank aggregation								MACHINE LEARNING: ECML 2007, PROCEEDINGS		Lecture Notes in Artificial Intelligence		4701				616	+							2007	2007						18th European Conference on Machine Learning (ECML 2007)/11th European Conference on Principles and Practice of Knowledge Discovery in Databases (PKDD 2007)18th European Conference on Machine Learning (ECML 2007)/11th European Conference on Principles and Practice of Knowledge Discovery in Databases (PKDD 2007)	SEP 17-21, 2007SEP 17-21, 2007	Warsaw Univ, Fac Math, Informat & Mech; Polish Acad Sci, Inst Comp Sci; European Off Aerosp Res & Dev; Air Force Off Sci Res; USAF Res LabWarsaw Univ, Fac Math, Informat & Mech; Polish Acad Sci, Inst Comp Sci; European Off Aerosp Res & Dev; Air Force Off Sci Res; USAF Res Lab	Warsaw Univ, Warsaw, POLANDWarsaw Univ, Warsaw, POLAND	7	0	0	0	0	7			0302-9743		978-3-540-74957-8	WOS:000249742300056		
B	Li, Rui-fan; Wan, Miao; Wu, Chun-hua			IEEE					Applying ontology-based semantic measurement for knowledge acquisition in traveling information system								PROCEEDINGS OF THE 2007 IEEE INTERNATIONAL CONFERENCE ON NATURAL LANGUAGE PROCESSING AND KNOWLEDGE ENGINEERING (NLP-KE'07)								56	+							2007	2007						International Conference on Natural Language Processing and Knowledge EngineeringInternational Conference on Natural Language Processing and Knowledge Engineering	AUG 30-SEP 01, 2007AUG 30-SEP 01, 2007	IEEE Signal Proc Soc; Chinese Assoc Artificial Intelligence; Chinese Informat Proc Soc China; IEEE Beijing Sect; Beijing Univ Posts & TelecommunIEEE Signal Proc Soc; Chinese Assoc Artificial Intelligence; Chinese Informat Proc Soc China; IEEE Beijing Sect; Beijing Univ Posts & Telecommun	Beijing, PEOPLES R CHINABeijing, PEOPLES R CHINA	3	1	0	1	0	4					978-1-4244-1610-3	WOS:000250781000008		
J	Vivaldi, Jorge; Rodriguez, Horacio				Vivaldi, Jorge/N-8843-2013	Vivaldi, Jorge/0000-0003-1491-8691			Evaluation of terms and term extraction systems - A practical approach								TERMINOLOGY				13	2			225	248		10.1075/term.13.2.06viv					2007	2007										15	2	0	0	0	17			0929-9971			WOS:000253336600005		
J	Ananiadou, Sophia; Kell, Douglas B.; Tsujii, Jun-ichi				Kell, Douglas/E-8318-2011	Kell, Douglas/0000-0001-5838-7963			Text mining and its potential applications in systems biology								TRENDS IN BIOTECHNOLOGY				24	12			571	579		10.1016/j.tibtech.2006.10.002					DEC 2006	2006										175	7	0	117	0	186			0167-7799	1879-3096		WOS:000242794400007	17045684	
J	Kim, Sang-Bum; Han, Kyoung-Soo; Rim, Hae-Chang; Myaeng, Sung Hyon								Some effective techniques for naive Bayes text classification								IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING				18	11			1457	1466		10.1109/TKDE.2006.180					NOV 2006	2006										146	12	0	5	1	157			1041-4347			WOS:000240544500002		
J	Peng, Shih-Jung; Ruzicka, Jan Karel; Chen, Deng-Jyi								A generic and visual interfacing framework for bridging the interface between application systems and recognizers								JOURNAL OF INFORMATION SCIENCE AND ENGINEERING				22	5			1077	1091							SEP 2006	2006										2	0	0	0	0	2			1016-2364			WOS:000241017600007		
J	Ownby, RL; Crocco, E; Acevedo, A; John, V; Loewenstein, D					Ownby, Raymond/0000-0001-9433-2820			Depression and risk for Alzheimer disease - Systematic review, meta-analysis, and metaregression analysis								ARCHIVES OF GENERAL PSYCHIATRY				63	5			530	538		10.1001/archpsyc.63.5.530					MAY 2006	2006										675	14	0	370	10	696			0003-990X	1538-3636		WOS:000237215800007	16651510	
S	Fitrianie, Siska; Datcu, Dragos; Rothkrantz, Leon J. M.			IEEE					Constructing knowledge of the world in crisis situations using visual language								2006 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS, VOLS 1-6, PROCEEDINGS		IEEE International Conference on Systems Man and Cybernetics Conference Proceedings						121	+		10.1109/ICSMC.2006.384369					2006	2006						IEEE International Conference on Systems, Man and CyberneticsIEEE International Conference on Systems, Man and Cybernetics	OCT 08-11, 2006OCT 08-11, 2006	IEEE Syst, Man & Cybernet Soc; Minist Educ; Natl Sci Council; Natl Taipei Univ Technol; Natl Chiao Tung UnivIEEE Syst, Man & Cybernet Soc; Minist Educ; Natl Sci Council; Natl Taipei Univ Technol; Natl Chiao Tung Univ	Taipei, TAIWANTaipei, TAIWAN	1	0	0	0	0	1			1062-922X		978-1-4244-0099-7	WOS:000248078500021		
S	Mercier, Annabelle; Imafouo, Amelie; Beigbeder, Michel						Peters, C; Gey, FC; Gonzalo, J; Muller, H; Jones, GJF; Kluck, M; Magnini, B; DeRijke, M		ENSM-SE at CLEF 2005: Using a fuzzy proximity matching function								ACCESSING MULTILINGUAL INFORMATION REPOSITORIES		Lecture Notes in Computer Science		4022				187	193							2006	2006						6th Workshop of the Cross-Language Evaluation Forum6th Workshop of the Cross-Language Evaluation Forum	SEP 21-23, 2005SEP 21-23, 2005		Vienna, AUSTRIAVienna, AUSTRIA	0	0	0	0	0	0			0302-9743	1611-3349	3-540-45697-X	WOS:000241359000021		
S	Tomlinson, Stephen						Peters, C; Gey, FC; Gonzalo, J; Muller, H; Jones, GJF; Kluck, M; Magnini, B; DeRijke, M		Bulgarian and Hungarian experiments with Hummingbird SearchServer (TM) at CLEF 2005								ACCESSING MULTILINGUAL INFORMATION REPOSITORIES		LECTURE NOTES IN COMPUTER SCIENCE		4022				194	203							2006	2006						6th Workshop of the Cross-Language Evaluation Forum6th Workshop of the Cross-Language Evaluation Forum	SEP 21-23, 2005SEP 21-23, 2005		Vienna, AUSTRIAVienna, AUSTRIA	3	0	0	0	0	3			0302-9743		3-540-45697-X	WOS:000241359000022		
S	Inoue, Masashi					Inoue, Masashi/0000-0002-9364-3114	Peters, C; Gey, FC; Gonzalo, J; Muller, H; Jones, GJF; Kluck, M; Magnini, B; DeRijke, M		Easing erroneous translations in cross-language image retrieval using word associations								ACCESSING MULTILINGUAL INFORMATION REPOSITORIES		LECTURE NOTES IN COMPUTER SCIENCE		4022				582	591							2006	2006						6th Workshop of the Cross-Language Evaluation Forum6th Workshop of the Cross-Language Evaluation Forum	SEP 21-23, 2005SEP 21-23, 2005		Vienna, AUSTRIAVienna, AUSTRIA	0	0	0	0	0	0			0302-9743		3-540-45697-X	WOS:000241359000065		
S	Hoi, Steven C. H.; Zhu, Jianke; Lyu, Michael R.				HOI, Steven C. H./A-3736-2011	Hoi, Steven/0000-0002-4584-3453	Peters, C; Gey, FC; Gonzalo, J; Muller, H; Jones, GJF; Kluck, M; Magnini, B; DeRijke, M		CUHK at ImageCLEF 2005: Cross-language and cross-media image retrieval								ACCESSING MULTILINGUAL INFORMATION REPOSITORIES		Lecture Notes in Computer Science		4022				602	611							2006	2006						6th Workshop of the Cross-Language Evaluation Forum6th Workshop of the Cross-Language Evaluation Forum	SEP 21-23, 2005SEP 21-23, 2005		Vienna, AUSTRIAVienna, AUSTRIA	1	0	0	0	0	1			0302-9743	1611-3349	3-540-45697-X	WOS:000241359000067		
